,Unnamed: 0,Accuracy,VariablesUsed,RandomStateUsed
131,,0.6783333333333333,"['contains_reviews_page', 'IsHQ', 'contains_business_name_in_copyright', 'contains_social_media_links', 'contains_contacts_page', 'contains_business_name', 'contains_zipCode', 'IsBBBAccredited']",131
132,,0.6833333333333333,"['url_contains_email', 'contains_business_name_in_copyright', 'contains_contacts_page', 'url_contains_phone_number', 'IsBBBAccredited', 'BBBRatingScore', 'contains_reviews_page', 'IsHQ', 'contains_business_name', 'IsCharity', 'contains_social_media_links']",132
133,,0.6766666666666666,"['url_contains_email', 'IsCharity', 'IsBBBAccredited', 'contains_contacts_page', 'IsHQ', 'BBBRatingScore', 'url_contains_phone_number', 'contains_zipCode', 'contains_reviews_page', 'contains_business_name_in_copyright', 'contains_business_name']",133
134,,0.6583333333333333,"['contains_business_name', 'contains_zipCode', 'IsBBBAccredited', 'BBBRatingScore', 'contains_reviews_page']",134
135,,0.675,"['contains_contacts_page', 'IsHQ', 'url_contains_phone_number', 'contains_business_name', 'contains_zipCode', 'IsCharity']",135
136,,0.6966666666666667,"['contains_business_name', 'contains_social_media_links', 'url_contains_email', 'IsHQ', 'contains_contacts_page', 'IsBBBAccredited', 'contains_zipCode']",136
137,,0.6933333333333334,"['url_contains_email', 'contains_business_name_in_copyright', 'contains_zipCode']",137
138,,0.6733333333333333,"['contains_contacts_page', 'IsCharity', 'IsHQ', 'url_contains_phone_number', 'BBBRatingScore', 'contains_reviews_page', 'contains_zipCode', 'contains_business_name', 'contains_business_name_in_copyright', 'contains_social_media_links', 'IsBBBAccredited', 'url_contains_email']",138
139,,0.6716666666666666,"['contains_social_media_links', 'IsBBBAccredited', 'url_contains_email']",139
140,,0.65,"['contains_contacts_page', 'BBBRatingScore']",140
141,,0.6783333333333333,"['url_contains_email', 'contains_social_media_links', 'contains_business_name_in_copyright', 'BBBRatingScore', 'IsBBBAccredited', 'contains_contacts_page', 'IsHQ', 'url_contains_phone_number', 'contains_zipCode', 'contains_business_name']",141
142,,0.68,"['contains_contacts_page', 'contains_business_name', 'IsBBBAccredited', 'contains_social_media_links', 'contains_reviews_page', 'IsHQ', 'IsCharity', 'url_contains_phone_number']",142
143,,0.655,"['contains_business_name_in_copyright', 'IsHQ', 'url_contains_email', 'contains_reviews_page', 'contains_business_name', 'contains_zipCode']",143
144,,0.7016666666666667,"['contains_zipCode', 'IsHQ', 'IsCharity', 'url_contains_phone_number', 'IsBBBAccredited', 'url_contains_email']",144
145,,0.665,"['contains_zipCode', 'contains_business_name', 'IsBBBAccredited', 'contains_contacts_page']",145
146,,0.6916666666666667,"['contains_business_name_in_copyright', 'url_contains_phone_number', 'contains_reviews_page', 'BBBRatingScore', 'url_contains_email', 'IsHQ', 'IsCharity', 'contains_business_name', 'IsBBBAccredited', 'contains_zipCode', 'contains_social_media_links', 'contains_contacts_page']",146
147,,0.7,"['contains_business_name', 'contains_reviews_page', 'BBBRatingScore']",147
148,,0.66,"['BBBRatingScore', 'url_contains_phone_number', 'contains_business_name', 'IsBBBAccredited', 'contains_reviews_page', 'contains_zipCode', 'contains_contacts_page']",148
149,,0.675,"['url_contains_email', 'contains_business_name_in_copyright', 'url_contains_phone_number', 'contains_zipCode', 'IsHQ', 'IsBBBAccredited', 'contains_reviews_page', 'BBBRatingScore', 'contains_social_media_links', 'IsCharity']",149
