,Variables,Random_State,R_2_Train,R_2_Test,Mean_Squared_Error,Mean_Absolute_Error
28,contains_social_media_links,28,0.007331856153401817,-4.033169583461671e-05,0.21547282867610618,0.4310879095002298
29,contains_social_media_links,29,0.005864683982798824,-0.0016309724240013423,0.2155209701406091,0.42802687774016374
30,contains_social_media_links,30,0.00533214396906867,0.0021741699267132653,0.21551765278165716,0.4283226424658702
31,contains_social_media_links,31,0.0033698780961295416,0.014575779150799884,0.2155356756462584,0.4316399224688643
32,contains_social_media_links,32,0.004913076341647726,0.009894915798407844,0.21546849736989396,0.4307192310828274
33,contains_social_media_links,33,0.007884887721544165,-0.009060857232367159,0.21555094620630227,0.43344108511855184
34,contains_social_media_links,34,0.004319650277259335,0.008511197904229162,0.21551309022663673,0.43327610597160865
35,contains_social_media_links,35,0.0036156227253009154,0.0011667845507545849,0.21563405159369806,0.42768606525484965
36,contains_social_media_links,36,0.008099078175543895,-0.008646019264067606,0.2155325556970259,0.43275276419641157
37,contains_social_media_links,37,0.007413534109372399,-0.0020465286517927783,0.21548714663262394,0.4319409528085597
38,contains_social_media_links,38,0.006078745151166021,0.005397337092535426,0.21545679600711135,0.43119461329386727
39,contains_social_media_links,39,0.005335165939947761,-0.0010575703803594738,0.21554124523827406,0.4278131078634455
40,contains_social_media_links,40,0.006342737485366734,-0.0013673389499857524,0.21550439967580395,0.43331264626107496
41,contains_social_media_links,41,0.00821238788030254,-0.004095795523231471,0.21549856928250666,0.42967021259436167
42,contains_social_media_links,42,0.007945256635946585,-0.002683289277957579,0.21548841984536185,0.4299485018730493
43,contains_social_media_links,43,0.004909997797148846,-0.020938111541056292,0.21569271362952377,0.4366316792786046
44,contains_social_media_links,44,0.004556766668109669,0.011110792615372955,0.21547727182396798,0.4310471497736217
45,contains_social_media_links,45,0.004846355629211541,0.008153113059075179,0.2154846591440791,0.43265642062972287
46,contains_social_media_links,46,0.005570774586773575,0.007495879983129727,0.21545903667471744,0.43053641715693935
47,contains_social_media_links,47,0.010618648519727159,-0.01578124322647323,0.21559822888812302,0.43002117569530884
48,contains_social_media_links,48,0.002861569589117763,0.015008933107801825,0.21558477220932065,0.43082764075017616
49,contains_social_media_links,49,0.006015310205114477,0.004169009187644845,0.21547509672130252,0.4293127012596503
0,contains_reviews_page,0,0.000244452786517968,0.0008566980196463847,0.21663353430374563,0.4321478900219193
1,contains_reviews_page,1,0.00029531818798123055,0.000856306734571266,0.21662381707775633,0.4344916376706384
2,contains_reviews_page,2,0.0002158502892238845,0.0018534896132833545,0.21662745137031858,0.43289876379237663
3,contains_reviews_page,3,0.0002629062515867586,-0.00013933732551674183,0.21663743677310462,0.43173741896117407
4,contains_reviews_page,4,0.0005695504133289564,-0.0009315893455561497,0.21661336301070883,0.4347421099619652
5,contains_reviews_page,5,0.00024374458045983705,-0.008820120257274633,0.21670982119152524,0.4367597433351769
6,contains_reviews_page,6,0.003025055341686844,-0.014446674531908732,0.21677635605337744,0.4342111960579787
7,contains_reviews_page,7,0.0013603420763887986,-0.0023805980329338894,0.21661904352582814,0.43323704918939154
